Type,Datetime,Latitude,Longitude,C_gauge,Off_Day
Auto Fire Alarm,2011-02-18,47.617439000000005,-122.3395,RG11,0
Auto Fire Alarm,2011-02-18,47.633163,-122.353202,RG11,0
Automatic Fire Alarm Resd,2011-02-18,47.708578,-122.285393,RG04,0
Automatic Fire Alarm Resd,2011-02-18,47.701266,-122.314552,RG04,0
Auto Fire Alarm,2011-02-18,47.529595,-122.288087,RG10_30,0
Auto Fire Alarm,2011-02-18,47.613006,-122.32547199999999,RG20_25,0
Auto Fire Alarm,2011-02-18,47.690585999999996,-122.35231999999999,RG07,0
Rubbish Fire,2011-02-18,47.60975,-122.33779299999999,RG11,0
Fire in Building,2011-02-18,47.657568,-122.316673,RG03,0
Car Fire,2011-02-18,47.559385,-122.39761000000001,RG14,0
Automatic Fire Alarm Resd,2011-02-18,47.604962,-122.283427,RG20_25,0
Auto Fire Alarm,2011-02-18,47.674786,-122.40636200000002,RG08,0
Automatic Fire Alarm False,2011-02-18,47.618497,-122.327854,RG11,0
Auto Fire Alarm,2011-02-18,47.580544,-122.313367,RG20_25,0
Fire in Building,2011-02-18,47.621116,-122.325301,RG20_25,0
Automatic Fire Alarm Resd,2011-02-18,47.689834999999995,-122.36098,RG07,0
Auto Fire Alarm,2011-02-18,47.712312,-122.342124,RG01,0
Auto Fire Alarm,2011-02-18,47.618412,-122.35520600000001,RG11,0
Auto Fire Alarm,2011-02-18,47.615689,-122.35240900000001,RG11,0
Rubbish Fire,2011-02-18,47.612958,-122.337873,RG11,0
Auto Fire Alarm,2011-02-18,47.612158,-122.32311299999999,RG20_25,0
Auto Fire Alarm,2011-02-18,47.530766,-122.28066799999999,RG10_30,0
Auto Fire Alarm,2011-02-18,47.616942,-122.330731,RG11,0
Automatic Fire Alarm Resd,2011-02-17,47.651016999999996,-122.34136699999999,RG03,0
Automatic Fire Alarm False,2011-02-17,47.682569,-122.346319,RG09,0
Auto Fire Alarm,2011-02-17,47.601719,-122.331966,RG20_25,0
Auto Fire Alarm,2011-02-17,47.610972,-122.340465,RG11,0
Automatic Fire Alarm Resd,2011-02-17,47.575218,-122.40545800000001,RG14,0
Automatic Fire Alarm Resd,2011-02-17,47.52323,-122.34608100000001,RG17,0
Auto Fire Alarm,2011-02-17,47.614391,-122.33831399999998,RG11,0
Auto Fire Alarm,2011-02-17,47.663074,-122.30516399999999,RG03,0
Auto Fire Alarm,2011-02-17,47.59348,-122.3904,RG14,0
Auto Fire Alarm,2011-02-17,47.611672,-122.33648400000001,RG11,0
Auto Fire Alarm,2011-02-17,47.621503999999995,-122.347597,RG11,0
Auto Fire Alarm,2011-02-17,47.521023,-122.366095,RG17,0
Auto Fire Alarm,2011-02-17,47.699872,-122.324247,RG04,0
Auto Fire Alarm,2011-02-17,47.602114,-122.330809,RG20_25,0
Fire in Building,2011-02-17,47.61889,-122.306074,RG20_25,0
Auto Fire Alarm,2011-02-17,47.63386,-122.32558700000001,RG03,0
Auto Fire Alarm,2011-02-17,47.611543,-122.330225,RG20_25,0
Auto Fire Alarm,2011-02-16,47.616942,-122.330731,RG11,0
Car Fire,2011-02-16,47.705084,-122.355453,RG07,0
Fire in Building,2011-02-16,47.625809999999994,-122.35931200000002,RG11,0
Auto Fire Alarm,2011-02-16,47.622219,-122.33043,RG11,0
Auto Fire Alarm,2011-02-16,47.61677,-122.346304,RG11,0
Fire in Building,2011-02-16,47.708609,-122.325576,RG04,0
Automatic Fire Alarm Resd,2011-02-16,47.670927,-122.395669,RG08,0
Auto Fire Alarm,2011-02-16,47.571233,-122.291003,RG18,0
Auto Fire Alarm,2011-02-16,47.623606,-122.338443,RG11,0
Fire in Building,2011-02-16,47.703266,-122.333904,RG04,0
Auto Fire Alarm,2011-02-16,47.579039,-122.410941,RG14,0
