Date,RG01,RG02,RG03,RG04,RG05,RG07,RG08,RG09,RG10_30,RG11,RG12,RG14,RG15,RG16,RG17,RG18,RG20_25
2009-06-30T00:00:00,0.31,0.2,0.11,0.24,0.24,0.27,0.17,0.16,0.56,0.1,0.14,0.16,0.21,0.22,0.36,0.23,0.21
2009-07-31T00:00:00,0.22,0.2,0.1,0.15,0.11,0.12,0.09,0.11,0.06,0.09,0.2,0.08,0.1,0.05,0.1,0.06,0.08
2009-08-31T00:00:00,0.75,0.77,0.76,0.83,0.96,0.77,0.82,0.89,1.08,0.78,0.95,1.09,0.88,0.99,1.07,1.08,0.86
2009-09-30T00:00:00,2.5,2.46,2.05,2.44,1.87,2.4,2.31,2.3,2.49,2.47,2.2,2.12,2.05,2.29,2.25,2.42,2.54
2009-10-31T00:00:00,5.71,5.3,4.98,6.06,4.92,5.25,5.29,5.88,6.06,5.01,5.4,4.99,5.13,5.88,5.81,6.21,5.06
2009-11-30T00:00:00,10.92,8.41,8.72,9.56,9.13,10.84,9.51,9.94,10.07,7.93,9.17,9.86,9.34,10.1,9.74,10.92,8.75
2009-12-31T00:00:00,3.11,2.19,2.23,2.59,2.77,2.95,2.62,2.6,2.8,2.27,2.5,2.77,2.34,2.83,2.99,3.07,2.34
2010-01-31T00:00:00,7.82,6.41,6.69,7.21,7.12,7.37,7.19,7.62,6.81,6.58,7.4,8.13,6.7,6.82,6.97,7.53,6.61
2010-02-28T00:00:00,4.05,2.83,3.2,3.17,3.64,3.9,3.74,3.9,3.6,3.54,3.91,4.36,3.62,3.66,3.52,3.7,3.56
2010-03-31T00:00:00,3.65,3.1,2.92,3.07,3.03,3.34,3.3,3.34,4.43,2.78,3.39,3.25,3.02,3.57,3.26,4.49,2.99
2010-04-30T00:00:00,3.35,2.75,2.96,3.02,3.65,3.25,3.07,3.53,4.05,3.16,2.84,3.39,3.31,3.78,3.75,3.86,2.96
2010-05-31T00:00:00,3.19,3.53,3.03,3.66,2.97,3.32,3.47,3.6,3.46,3.05,3.93,4.24,2.74,3.1,3.16,3.62,2.73
2010-06-30T00:00:00,2.34,2.26,2.56,2.42,2.09,2.5,2.19,2.71,2.66,1.87,1.96,1.88,1.9,2.18,2.24,2.43,2.02
2010-07-31T00:00:00,0.17,0.12,0.18,0.14,0.18,0.12,0.18,0.22,0.34,0.22,0.21,0.43,0.25,0.21,0.34,0.46,0.34
2010-08-31T00:00:00,0.82,0.73,0.82,0.73,0.64,0.76,0.77,0.96,0.59,0.67,0.69,0.59,0.55,0.6,0.64,0.65,0.72
2010-09-30T00:00:00,3.49,3.66,3.71,4.02,4.18,3.44,3.43,4.12,3.94,3.98,4.22,4.39,3.78,4.1,4.1,4.04,3.89
